game_id,Week,Day,Date,Year,Month,Day,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,loser_is_home,start_latlong,end_latlong,start_lat,start_long,end_lat,end_long,Home,Away,Stadium,Dome,Grass,HOME_day_since_last_game,AWAY_day_since_last_game,Distance
2019_02_SEA_CIN,2,Sun,43723,2019,September,15,1:00PM,San Francisco 49ers,Cincinnati Bengals,41,17,571,1,316,1,TRUE,"37.40289,-121.96784","39.096375,-84.516402",37.40289,-121.96784,39.096375,-84.516402,Cincinnati Bengals,San Francisco 49ers,Paul Brown Stadium,No,UBU Speed Series S5-M Synthetic Turf,7,7,2021.098197
2019_02_IND_TEN,2,Sun,43723,2019,September,15,1:00PM,Indianapolis Colts,Tennessee Titans,19,17,288,2,243,0,TRUE,"39.725523,-86.269762","36.199207,-86.80447",39.725523,-86.269762,36.199207,-86.80447,Tennessee Titans,Indianapolis Colts,Nissan Stadium,No,Bermuda Grass,7,7,245.3782111
2019_02_ARI_BAL,2,Sun,43723,2019,September,15,1:00PM,Baltimore Ravens,Arizona Cardinals,23,17,440,0,349,0,FALSE,"33.5276,-112.2626","39.397151,-76.835177",33.5276,-112.2626,39.397151,-76.835177,Baltimore Ravens,Arizona Cardinals,M&T Bank Stadium,No,Bermuda,7,7,1996.625655
2019_02_DAL_WAS,2,Sun,43723,2019,September,15,1:00PM,Dallas Cowboys,Washington Redskins,31,21,474,1,255,0,TRUE,"32.904895,-97.035901","39.026703,-77.444067",32.904895,-97.035901,39.026703,-77.444067,Washington Redskins,Dallas Cowboys,FedExField,No,Bermuda Grass,7,7,1171.436949
2019_02_LAC_DET,2,Sun,43723,2019,September,15,1:00PM,Detroit Lions,Los Angeles Chargers,13,10,339,2,424,2,FALSE,"33.864219,-118.260995","42.339997,-83.045509",33.864219,-118.260995,42.339997,-83.045509,Detroit Lions,Los Angeles Chargers,Ford Field,Closed,FieldTurf Classic HD,7,7,1986.227806
2019_02_MIN_GB,2,Sun,43723,2019,September,15,1:00PM,Green Bay Packers,Minnesota Vikings,21,16,335,2,421,4,FALSE,"44.974552,-93.25975","44.501135,-88.062284",44.974552,-93.25975,44.501135,-88.062284,Green Bay Packers,Minnesota Vikings,Lambeau Field,No,Desso GrassMaster,10,7,257.1311809
2019_02_JAX_HOU,2,Sun,43723,2019,September,15,1:00PM,Houston Texans,Jacksonville Jaguars,13,12,263,0,281,1,FALSE,"30.323721,-81.635996","29.684873,-95.410645",30.323721,-81.635996,29.684873,-95.410645,Houston Texans,Jacksonville Jaguars,NRG Stadium,Retractable,Hellas Matrix Turf,6,7,824.8667428
2019_02_NE_MIA,2,Sun,43723,2019,September,15,1:00PM,New England Patriots,Miami Dolphins,43,0,379,1,184,4,TRUE,"42.090936,-71.264362","25.957866,-80.23877",42.090936,-71.264362,25.957866,-80.23877,Miami Dolphins,New England Patriots,Hard Rock Stadium,No,Bermuda Grass,7,7,1225.690035
2019_02_SF_PIT,2,Sun,43723,2019,September,15,1:00PM,Seattle Seahawks,Pittsburgh Steelers,28,26,425,2,261,1,TRUE,"47.593177,-122.331764","40.446739,-80.015837",47.593177,-122.331764,40.446739,-80.015837,Pittsburgh Steelers,Seattle Seahawks,Heinz Field,No,Kentucky Bluegrass,7,7,2131.55279
2019_02_KC_OAK,2,Sun,43723,2019,September,15,4:05PM,Kansas City Chiefs,Oakland Raiders,28,10,467,1,307,2,TRUE,"39.048172,-94.483084","37.751605,-122.200485",39.048172,-94.483084,37.751605,-122.200485,Oakland Raiders,Kansas City Chiefs,Oakland Coliseum,No,Kentucky Bluegrass,6,7,1497.71017
2019_02_CHI_DEN,2,Sun,43723,2019,September,15,4:25PM,Chicago Bears,Denver Broncos,16,14,273,0,372,1,TRUE,"42.256007,-87.895355","39.579126,-104.830049",42.256007,-87.895355,39.579126,-104.830049,Denver Broncos,Chicago Bears,Empower Field at Mile High,No,Kentucky Bluegrass,6,10,901.6931824
2019_02_NO_LV,2,Sun,43723,2019,September,15,4:25PM,Los Angeles Rams,New Orleans Saints,27,9,380,1,244,1,FALSE,"29.951439,-90.081970","33.864219,-118.260995",29.951439,-90.08197,33.864219,-118.260995,Los Angeles Rams,New Orleans Saints,SoFi Stadium,Closed,Hellas Matrix Turf,7,6,1669.396393
2019_02_PHI_ATL,2,Sun,43723,2019,September,15,8:20PM,Atlanta Falcons,Philadelphia Eagles,24,20,367,3,286,3,FALSE,"39.907366,-75.178274","33.755141,-84.401023",39.907366,-75.178274,33.755141,-84.401023,Atlanta Falcons,Philadelphia Eagles,Mercedes-Benz Stadium,Retractable,FieldTurfCORE,7,7,663.2951184
2019_02_CLE_NYJ,2,Mon,43724,2019,September,16,8:15PM,Cleveland Browns,New York Jets,23,3,375,1,262,1,TRUE,"41.506035,-81.700058","40.813677,-74.082884",41.506035,-81.700058,40.813677,-74.082884,New York Jets,Cleveland Browns,MetLife Stadium,No,UBU Sports Speed Series S5-M,8,8,398.9792832
