Team,Date,Relinquished,Notes,first_name,last_name,season,team_abbreviation,player_id
49ers,9/24/21,Kevin Givens,ankle injury (out),Kevin,Givens,2021,SF,2021_Givens_SF
49ers,10/11/19,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,10/11/19,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,11/13/21,Mohamed Sanu,knee injury (out),Mohamed,Sanu,2021,SF,2021_Sanu_SF
49ers,10/29/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,9/20/19,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,12/19/19,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,9/20/19,Tevin Coleman,ankle injury (out),Tevin,Coleman,2019,SF,2019_Coleman_SF
49ers,9/18/22,Trey Lance,"fractured right ankle, ligament disruption in right ankle",Trey,Lance,2022,SF,2022_Lance_SF
49ers,10/18/19,Deebo Samuel,groin injury (out),Deebo,Samuel,2019,SF,2019_Samuel_SF
49ers,11/4/20,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,10/23/20,Kwon Alexander,ankle injury (out),Kwon,Alexander,2020,SF,2020_Alexander_SF
49ers,11/13/21,Dre Kirkpatrick,ankle injury (out),Dre,Kirkpatrick,2021,SF,2021_Kirkpatrick_SF
49ers,11/13/21,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,10/23/20,Jimmie Ward,quadriceps injury (out),Jimmie,Ward,2020,SF,2020_Ward_SF
49ers,9/10/21,Jalen Hurd,knee injury (out),Jalen,Hurd,2021,SF,2021_Hurd_SF
49ers,11/26/21,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,11/5/21,Jimmie Ward,quadriceps injury (out),Jimmie,Ward,2021,SF,2021_Ward_SF
49ers,10/11/19,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,9/25/20,Dee Ford,back injury (out),Dee,Ford,2020,SF,2020_Ford_SF
49ers,12/3/21,Trey Sermon,ankle injury (out),Trey,Sermon,2021,SF,2021_Sermon_SF
49ers,12/3/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,9/25/20,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,11/22/19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,11/22/19,Joe Staley,finger injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,12/13/19,Richard Sherman,hamstring injury (out),Richard,Sherman,2019,SF,2019_Sherman_SF
49ers,10/23/20,Raheem Mostert,ankle injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,11/13/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,9/18/20,George Kittle,knee injury (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,11/13/21,Tavon Wilson,foot injury (out),Tavon,Wilson,2021,SF,2021_Wilson_SF
49ers,12/19/19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,12/10/21,Trenton Cannon,concussion (out),Trenton,Cannon,2021,SF,2021_Cannon_SF
49ers,12/17/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,12/25/20,Richard Sherman,calf injury (out),Richard,Sherman,2020,SF,2020_Sherman_SF
49ers,9/20/19,Jalen Hurd,back injury (out),Jalen,Hurd,2019,SF,2019_Hurd_SF
49ers,9/25/20,George Kittle,knee injury (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,10/23/20,Jaquiski Tartt,groin injury (out),Jaquiski,Tartt,2020,SF,2020_Tartt_SF
49ers,12/13/19,K'Waun Williams,concussion (out),K'Waun,Williams,2019,SF,2019_Williams_SF
49ers,12/10/21,Elijah Mitchell,"concussion, knee injury (out)",Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,12/10/21,Emmanuel Moseley,ankle injury (out),Emmanuel,Moseley,2021,SF,2021_Moseley_SF
49ers,10/2/20,Raheem Mostert,knee injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,12/11/20,Hroniss Grasu,knee injury (out),Hroniss,Grasu,2020,SF,2020_Grasu_SF
49ers,12/19/19,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,12/25/20,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,12/17/21,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,11/4/20,George Kittle,fractured foot (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,10/8/21,Jimmy Garoppolo,calf injury (out),Jimmy,Garoppolo,2021,SF,2021_Garoppolo_SF
49ers,9/13/19,Trent Taylor,foot injury (out),Trent,Taylor,2019,SF,2019_Taylor_SF
49ers,10/18/19,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,1/1/21,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,12/10/21,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,10/9/20,Dontae Johnson,groin injury (out),Dontae,Johnson,2020,SF,2020_Johnson_SF
49ers,10/18/19,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,12/10/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,10/5/19,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,9/24/21,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,10/30/19,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,9/11/20,Jason Verrett,hamstring injury (out),Jason,Verrett,2020,SF,2020_Verrett_SF
49ers,1/29/23,Brock Purdy,torn UCL in right elbow (out indefinitely),Brock,Purdy,2022,SF,2022_Purdy_SF
49ers,12/25/20,Jimmie Ward,concussion (out),Jimmie,Ward,2020,SF,2020_Ward_SF
49ers,11/4/20,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,10/22/21,Trey Lance,knee injury (out),Trey,Lance,2021,SF,2021_Lance_SF
49ers,1/1/21,Brandon Aiyuk,ankle injury (out),Brandon,Aiyuk,2020,SF,2020_Aiyuk_SF
49ers,10/25/19,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,1/1/21,Javon Kinlaw,knee injury (out),Javon,Kinlaw,2020,SF,2020_Kinlaw_SF
49ers,1/1/21,K'Waun Williams,shin injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,10/18/19,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,10/29/21,Javon Kinlaw,knee injury (out),Javon,Kinlaw,2021,SF,2021_Kinlaw_SF
49ers,12/27/19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,10/30/19,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,10/30/19,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,9/18/20,Jason Verrett,hamstring injury (out),Jason,Verrett,2020,SF,2020_Verrett_SF
49ers,12/17/21,Elijah Mitchell,"concussion, knee injury (out)",Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,11/27/20,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,11/5/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,10/2/20,Dee Ford,back injury (out),Dee,Ford,2020,SF,2020_Ford_SF
49ers,12/13/19,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,11/29/19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,10/25/19,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,1/1/21,Richard Sherman,calf injury (out),Richard,Sherman,2020,SF,2020_Sherman_SF
49ers,10/25/19,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,10/2/20,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,10/2/20,Emmanuel Moseley,concussion (out),Emmanuel,Moseley,2020,SF,2020_Moseley_SF
49ers,10/30/20,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,12/11/20,Tom Compton,concussion (out),Tom,Compton,2020,SF,2020_Compton_SF
49ers,11/4/20,Demetrius Flannigan-Fowles,hamstring injury (out),Demetrius,Flannigan-Fowles,2020,SF,2020_Flannigan-Fowles_SF
49ers,9/17/21,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,9/13/19,Jalen Hurd,back injury (out),Jalen,Hurd,2019,SF,2019_Hurd_SF
49ers,12/18/20,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,9/25/20,Dre Greenlaw,quadriceps injury (out),Dre,Greenlaw,2020,SF,2020_Greenlaw_SF
49ers,10/18/19,D.J. Jones ,hamstring injury (out),D.J.,Jones,2019,SF,2019_Jones_SF
49ers,12/13/19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,12/13/19,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,10/9/20,K'Waun Williams,knee injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,10/5/19,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,10/30/20,Jeff Wilson Jr.,ankle injury (out),Jeff,Wilson,2020,SF,2020_Wilson_SF
49ers,10/9/20,Ezekiel Ansah ,biceps injury (out),Ezekiel,Ansah,2020,SF,2020_Ansah_SF
49ers,10/22/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,9/11/20,Deebo Samuel,foot injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,10/18/19,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,12/3/21,Deebo Samuel,groin injury (out),Deebo,Samuel,2021,SF,2021_Samuel_SF
49ers,9/25/20,Raheem Mostert,knee injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,10/11/19,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,12/3/21,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,11/13/20,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,10/2/20,Dre Greenlaw,quadriceps injury (out),Dre,Greenlaw,2020,SF,2020_Greenlaw_SF
49ers,10/29/21,Jaquiski Tartt,knee injury (out),Jaquiski,Tartt,2021,SF,2021_Tartt_SF
49ers,9/19/22,Trey Lance,"surgery on right ankle to repair fracture, ligament disruption",Trey,Lance,2022,SF,2022_Lance_SF
49ers,8/30/21,Johnny Holland,took leave of absence as linebackers coach for medical reasons,Johnny,Holland,2021,SF,2021_Holland_SF
49ers,11/15/19,D.J. Jones ,groin injury (out),D.J.,Jones,2019,SF,2019_Jones_SF
49ers,11/27/20,K'Waun Williams,ankle injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,11/13/20,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,12/5/20,K'Waun Williams,ankle injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,11/27/20,Tom Compton,concussion (out),Tom,Compton,2020,SF,2020_Compton_SF
49ers,11/19/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,3/8/22,Jimmy Garoppolo,surgery on right shoulder (out indefinitely),Jimmy,Garoppolo,2021,SF,2021_Garoppolo_SF
49ers,10/2/20,Jordan Reed,knee injury (out),Jordan,Reed,2020,SF,2020_Reed_SF
49ers,12/6/19,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,11/13/20,Demetrius Flannigan-Fowles,hamstring injury (out),Demetrius,Flannigan-Fowles,2020,SF,2020_Flannigan-Fowles_SF
49ers,10/22/21,Javon Kinlaw,knee injury (out),Javon,Kinlaw,2021,SF,2021_Kinlaw_SF
49ers,11/15/19,Joe Staley,finger injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,12/18/20,Hroniss Grasu,knee injury (out),Hroniss,Grasu,2020,SF,2020_Grasu_SF
49ers,11/4/20,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,11/29/19,Dante Pettis,knee injury (out),Dante,Pettis,2019,SF,2019_Pettis_SF
49ers,12/31/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,10/9/20,Emmanuel Moseley,concussion (out),Emmanuel,Moseley,2020,SF,2020_Moseley_SF
49ers,12/31/21,Azeez Al-Shaair,knee injury (out),Azeez,Al-Shaair,2021,SF,2021_Al-Shaair_SF
49ers,10/16/20,Kwon Alexander,ankle injury (out),Kwon,Alexander,2020,SF,2020_Alexander_SF
49ers,12/13/19,D.J. Jones ,ankle injury (out),D.J.,Jones,2019,SF,2019_Jones_SF
49ers,11/27/20,Demetrius Flannigan-Fowles,hamstring injury (out),Demetrius,Flannigan-Fowles,2020,SF,2020_Flannigan-Fowles_SF
49ers,9/11/22,Daniel Brunskill,hamstring injury (out),Daniel,Brunskill,2022,SF,2022_Brunskill_SF
49ers,12/22/21,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,11/13/20,K'Waun Williams,ankle injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,12/6/19,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,10/2/20,Ahkello Witherspoon,hamstring injury (out),Ahkello,Witherspoon,2020,SF,2020_Witherspoon_SF
49ers,12/22/21,Talanoa Hufanga,knee injury (out),Talanoa,Hufanga,2021,SF,2021_Hufanga_SF
49ers,11/19/21,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,12/22/21,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,9/25/20,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,10/8/21,K'Waun Williams,calf injury (out),K'Waun,Williams,2021,SF,2021_Williams_SF
49ers,12/31/21,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,10/1/21,K'Waun Williams,calf injury (out),K'Waun,Williams,2021,SF,2021_Williams_SF
49ers,12/22/21,Elijah Mitchell,knee injury (out),Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,10/16/20,Dontae Johnson,groin injury (out),Dontae,Johnson,2020,SF,2020_Johnson_SF
49ers,9/13/19,Tevin Coleman,ankle injury (out),Tevin,Coleman,2019,SF,2019_Coleman_SF
49ers,1/2/21,Dre Greenlaw,calf injury (out),Dre,Greenlaw,2020,SF,2020_Greenlaw_SF
Bears,11/15/19,Isaiah Irving,quadriceps injury (out),Isaiah,Irving,2019,CHI,2019_Irving_CHI
Bears,11/15/19,Trey Burton,calf injury (out),Trey,Burton,2019,CHI,2019_Burton_CHI
Bears,10/29/21,Khalil Mack,foot injury (out),Khalil,Mack,2021,CHI,2021_Mack_CHI
Bears,12/4/19,Ben Braunecker,concussion (out),Ben,Braunecker,2019,CHI,2019_Braunecker_CHI
Bears,11/24/21,Justin Fields,ribs injury (out),Justin,Fields,2021,CHI,2021_Fields_CHI
Bears,10/4/19,Mitchell Trubisky ,left shoulder injury (out),Mitchell,Trubisky,2019,CHI,2019_Trubisky_CHI
Bears,8/11/22,N'Keal Harry,tightrope surgery on ankle (out indefinitely),N'Keal,Harry,2022,CHI,2022_Harry_CHI
Bears,10/8/21,David Montgomery,knee injury (out),David,Montgomery,2021,CHI,2021_Montgomery_CHI
Bears,11/22/19,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,12/3/21,Marquise Goodwin,"foot, ribs injuries (out)",Marquise,Goodwin,2021,CHI,2021_Goodwin_CHI
Bears,10/15/21,J.P. Holtz,quadriceps injury (out),J.P.,Holtz,2021,CHI,2021_Holtz_CHI
Bears,12/4/19,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,1/7/22,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,11/14/20,Johnathan Jenkins ,ankle injury (out),Johnathan,Jenkins,2020,CHI,2020_Jenkins_CHI
Bears,11/6/20,Roy Robertson-Harris,shoulder injury (out),Roy,Robertson-Harris,2020,CHI,2020_Robertson-Harris_CHI
Bears,12/24/21,Xavier Crawford,concussion (out),Xavier,Crawford,2021,CHI,2021_Crawford_CHI
Bears,10/4/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,12/18/21,Jason Peters,ankle injury (out),Jason,Peters,2021,CHI,2021_Peters_CHI
Bears,12/24/21,Jason Peters,ankle injury (out),Jason,Peters,2021,CHI,2021_Peters_CHI
Bears,10/8/21,J.P. Holtz,quadriceps injury (out),J.P.,Holtz,2021,CHI,2021_Holtz_CHI
Bears,12/18/20,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,12/3/21,Damien Williams,calf injury (out),Damien,Williams,2021,CHI,2021_Williams_CHI
Bears,11/6/20,Mitchell Trubisky ,right shoulder injury (out),Mitchell,Trubisky,2020,CHI,2020_Trubisky_CHI
Bears,10/24/20,Sherrick McManis,hamstring injury (out),Sherrick,McManis,2020,CHI,2020_McManis_CHI
Bears,9/25/22,David Montgomery,"right ankle, knee injury (DTD)",David,Montgomery,2022,CHI,2022_Montgomery_CHI
Bears,11/6/20,Sam Mustipher,knee injury (out),Sam,Mustipher,2020,CHI,2020_Mustipher_CHI
Bears,11/6/21,Nick Foles,illness (out),Nick,Foles,2021,CHI,2021_Foles_CHI
Bears,11/1/19,Isaiah Irving,quadriceps injury (out),Isaiah,Irving,2019,CHI,2019_Irving_CHI
Bears,10/4/19,Bilal Nichols,fractured hand (out),Bilal,Nichols,2019,CHI,2019_Nichols_CHI
Bears,11/15/19,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,10/15/21,Caleb Johnson,knee injury (out),Caleb,Johnson,2021,CHI,2021_Johnson_CHI
Bears,11/15/19,Adam Shaheen,foot injury (out),Adam,Shaheen,2019,CHI,2019_Shaheen_CHI
Bears,10/7/20,Deon Bush,hamstring injury (out),Deon,Bush,2020,CHI,2020_Bush_CHI
Bears,8/13/22,Jaquan Brisker,right thumb injury (DTD),Jaquan,Brisker,2022,CHI,2022_Brisker_CHI
Bears,10/22/21,Tashaun Gipson,hip injury (out),Tashaun,Gipson,2021,CHI,2021_Gipson_CHI
Bears,12/3/21,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,12/3/21,Mario Edwards Jr.,ribs injury (out),Mario,Edwards,2021,CHI,2021_Edwards_CHI
Bears,11/22/19,Adam Shaheen,foot injury (out),Adam,Shaheen,2019,CHI,2019_Shaheen_CHI
Bears,11/6/21,Damien Williams,knee injury (out),Damien,Williams,2021,CHI,2021_Williams_CHI
Bears,12/27/19,Akiem Hicks,elbow injury (out),Akiem,Hicks,2019,CHI,2019_Hicks_CHI
Bears,12/18/21,Deandre Houston-Carson,forearm injury (out),Deandre,Houston-Carson,2021,CHI,2021_Houston-Carson_CHI
Bears,11/14/20,David Montgomery,concussion (out),David,Montgomery,2020,CHI,2020_Montgomery_CHI
Bears,12/4/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,12/24/21,Andy Dalton,"left hand, groin injuries (out)",Andy,Dalton,2021,CHI,2021_Dalton_CHI
Bears,9/17/21,Larry Borom,ankle injury (out),Larry,Borom,2021,CHI,2021_Borom_CHI
Bears,12/27/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,12/25/20,Jaylon Johnson,shoulder injury (out),Jaylon,Johnson,2020,CHI,2020_Johnson_CHI
Bears,12/18/21,Xavier Crawford,concussion (out),Xavier,Crawford,2021,CHI,2021_Crawford_CHI
Bears,11/14/20,Mitchell Trubisky ,right shoulder injury (out),Mitchell,Trubisky,2020,CHI,2020_Trubisky_CHI
Bears,11/27/19,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,11/6/20,Johnathan Jenkins ,ankle injury (out),Johnathan,Jenkins,2020,CHI,2020_Jenkins_CHI
Bears,10/30/20,Cody Whitehair,calf injury (out),Cody,Whitehair,2020,CHI,2020_Whitehair_CHI
Bears,1/1/21,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,12/4/19,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,9/24/21,Andy Dalton,knee injury (out),Andy,Dalton,2021,CHI,2021_Dalton_CHI
Bears,10/16/20,Deon Bush,hamstring injury (out),Deon,Bush,2020,CHI,2020_Bush_CHI
Bears,11/24/21,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,11/6/21,J.P. Holtz,concussion (out),J.P.,Holtz,2021,CHI,2021_Holtz_CHI
Bears,11/24/21,Damien Williams,calf injury (out),Damien,Williams,2021,CHI,2021_Williams_CHI
Bears,12/24/21,Jakeem Grant,concussion (out),Jakeem,Grant,2021,CHI,2021_Grant_CHI
Bears,11/27/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,12/25/20,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,11/8/19,Isaiah Irving,quadriceps injury (out),Isaiah,Irving,2019,CHI,2019_Irving_CHI
Bears,11/27/19,Ben Braunecker,concussion (out),Ben,Braunecker,2019,CHI,2019_Braunecker_CHI
Bears,11/6/21,Khalil Mack,foot injury (out),Khalil,Mack,2021,CHI,2021_Mack_CHI
Bears,12/20/19,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,1/1/21,Jaylon Johnson,shoulder injury (out),Jaylon,Johnson,2020,CHI,2020_Johnson_CHI
Bears,12/27/19,Eddie Goldman,concussion (out),Eddie,Goldman,2019,CHI,2019_Goldman_CHI
Bears,12/13/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,12/11/20,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,9/21/19,Bilal Nichols,fractured hand (out),Bilal,Nichols,2019,CHI,2019_Nichols_CHI
Bears,10/1/21,Joel Iyiegbuniwe ,hamstring injury (out),Joel,Iyiegbuniwe,2021,CHI,2021_Iyiegbuniwe_CHI
Bears,10/4/19,Ted Larsen,knee injury (out),Ted,Larsen,2019,CHI,2019_Larsen_CHI
Bears,11/27/19,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,11/27/19,Adam Shaheen,foot injury (out),Adam,Shaheen,2019,CHI,2019_Shaheen_CHI
Bears,12/13/19,Ben Braunecker,concussion (out),Ben,Braunecker,2019,CHI,2019_Braunecker_CHI
Bears,12/13/19,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,12/13/19,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,9/27/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,11/27/19,Sherrick McManis,groin injury (out),Sherrick,McManis,2019,CHI,2019_McManis_CHI
Bears,1/8/21,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,9/27/19,Bilal Nichols,fractured hand (out),Bilal,Nichols,2019,CHI,2019_Nichols_CHI
Bears,12/20/19,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,11/19/21,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,10/8/21,Joel Iyiegbuniwe ,hamstring injury (out),Joel,Iyiegbuniwe,2021,CHI,2021_Iyiegbuniwe_CHI
Bears,12/11/20,James Vaughters,knee injury (out),James,Vaughters,2020,CHI,2020_Vaughters_CHI
Bears,11/14/20,Sherrick McManis,hand injury (out),Sherrick,McManis,2020,CHI,2020_McManis_CHI
Bengals,12/10/21,Chris Evans,ankle injury (out),Chris,Evans,2021,CIN,2021_Evans_CIN
Bengals,10/29/21,Chris Evans,hamstring injury (out),Chris,Evans,2021,CIN,2021_Evans_CIN
Bengals,11/22/19,Drew Sample,ankle injury (out),Drew,Sample,2019,CIN,2019_Sample_CIN
Bengals,9/10/21,Trae Waynes,hamstring injury (out),Trae,Waynes,2021,CIN,2021_Waynes_CIN
Bengals,9/29/21,Jessie Bates III,neck injury (out),Jessie,Bates,2021,CIN,2021_Bates_CIN
Bengals,9/20/19,Ryan Glasgow,thigh injury (out),Ryan,Glasgow,2019,CIN,2019_Glasgow_CIN
Bengals,10/11/19,Ryan Glasgow,thigh injury (out),Ryan,Glasgow,2019,CIN,2019_Glasgow_CIN
Bengals,12/17/21,Logan Wilson,shoulder injury (out),Logan,Wilson,2021,CIN,2021_Wilson_CIN
Bengals,10/2/20,Mike Daniels,elbow injury (out),Mike,Daniels,2020,CIN,2020_Daniels_CIN
Bengals,12/25/20,Tyler Boyd,concussion (out),Tyler,Boyd,2020,CIN,2020_Boyd_CIN
Bengals,10/30/20,Bobby Hart,knee injury (out),Bobby,Hart,2020,CIN,2020_Hart_CIN
Bengals,10/25/19,Dre Kirkpatrick,knee injury (out),Dre,Kirkpatrick,2019,CIN,2019_Kirkpatrick_CIN
Bengals,11/27/22,Ja'Marr Chase,hairline fracture in left hip (out),Ja'Marr,Chase,2022,CIN,2022_Chase_CIN
Bengals,1/1/21,William Jackson III,concussion (out),William,Jackson,2020,CIN,2020_Jackson_CIN
Bengals,12/6/19,Sam Hubbard,knee injury (out),Sam,Hubbard,2019,CIN,2019_Hubbard_CIN
Bengals,9/20/19,Kerry Wynn,concussion (out),Kerry,Wynn,2019,CIN,2019_Wynn_CIN
Bengals,12/13/19,A.J. Green ,ankle injury (out),A.J.,Green,2019,CIN,2019_Green_CIN
