game_id,num_plays
2019_15_NE_CIN,179
2019_15_NYJ_BAL,169
2019_15_PHI_WAS,176
2019_15_SEA_CAR,184
2019_15_TB_DET,185
2019_16_ARI_SEA,180
2019_16_BAL_CLE,177
2019_16_BUF_NE,171
2019_16_CAR_IND,171
2019_16_CIN_MIA,248
2019_16_DAL_PHI,179
2019_16_DET_DEN,163
2019_16_GB_MIN,176
2019_16_HOU_TB,184
2019_16_JAX_ATL,180
2019_16_KC_CHI,177
2019_16_LAR_SF,183
2019_16_NO_TEN,186
2019_16_NYG_WAS,191
2019_16_OAK_LAC,166
2019_16_PIT_NYJ,171
2019_17_ARI_LAR,198
2019_17_ATL_TB,186
2019_17_CHI_MIN,166
2019_17_CLE_CIN,168
2019_17_GB_DET,197
2019_17_IND_JAX,165
2019_17_LAC_KC,167
2019_17_MIA_NE,172
2019_17_NO_CAR,182
2019_17_NYJ_BUF,177
2019_17_OAK_DEN,183
2019_17_PHI_NYG,199
2019_17_PIT_BAL,167
2019_17_SF_SEA,167
2019_17_TEN_HOU,171
2019_17_WAS_DAL,186
2019_18_BUF_HOU,203
2019_18_MIN_NO,183
2019_18_SEA_PHI,170
2019_18_TEN_NE,168
2019_19_HOU_KC,195
2019_19_MIN_SF,157
2019_19_SEA_GB,170
2019_19_TEN_BAL,188
2019_20_GB_SF,163
2019_20_TEN_KC,172
2019_21_SF_KC,174
2020_01_ARI_SF,190
2020_01_CHI_DET,195
2020_01_CLE_BAL,171
2020_01_DAL_LAR,190
2020_01_GB_MIN,174
2020_01_HOU_KC,170
2020_01_IND_JAX,161
2020_01_LAC_CIN,194
2020_01_LV_CAR,177
2020_01_MIA_NE,158
2020_01_NYJ_BUF,188
2020_01_PHI_WAS,191
2020_01_PIT_NYG,176
2020_01_SEA_ATL,192
2020_01_TB_NO,191
2020_01_TEN_DEN,182
2020_02_ATL_DAL,211
2020_02_BAL_HOU,171
2020_02_BUF_MIA,183
2020_02_CAR_TB,179
2020_02_CIN_CLE,197
2020_02_DEN_PIT,190
2020_02_DET_GB,181
2020_02_JAX_TEN,187
2020_02_KC_LAC,209
2020_02_LAR_PHI,182
2020_02_MIN_IND,165
2020_02_NE_SEA,182
2020_02_NO_LV,185
2020_02_NYG_CHI,180
2020_02_SF_NYJ,165
2020_02_WAS_ARI,188
2020_03_CAR_LAC,173
2020_03_CHI_ATL,203
2020_03_CIN_PHI,227
2020_03_DAL_SEA,212
2020_03_DET_ARI,187
2020_03_GB_NO,170
2020_03_HOU_PIT,170
2020_03_KC_BAL,177
2020_03_LAR_BUF,170
2020_03_LV_NE,175
2020_03_MIA_JAX,167
2020_03_NYJ_IND,163
2020_03_SF_NYG,170
2020_03_TB_DEN,174
2020_03_TEN_MIN,188
2020_03_WAS_CLE,181
2020_04_ARI_CAR,178
2020_04_ATL_GB,174
2020_04_BAL_WAS,175
2020_04_BUF_LV,177
2020_04_CLE_DAL,207
2020_04_DEN_NYJ,201
2020_04_IND_CHI,194
2020_04_JAX_CIN,190
2020_04_LAC_TB,176
2020_04_MIN_HOU,177
2020_04_NE_KC,171
2020_04_NO_DET,171
2020_04_NYG_LAR,164
2020_04_PHI_SF,178
2020_04_SEA_MIA,177
2020_05_ARI_NYJ,183
2020_05_BUF_TEN,185
2020_05_CAR_ATL,178
2020_05_CIN_BAL,172
