game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,time,yrdln,ydstogo,desc,injured_player,injured_team
2022_11_TEN_GB,GB,TEN,REG,11,TEN,away,GB,TEN,63,44882,119,1019,1019,Half2,3,1,0.082638889,TEN 37,10,(1:59) 22-D.Henry left guard to TEN 40 for 3 yards (93-T.Slaton). GB-93-T.Slaton was injured during the play.,T.Slaton,GB-93
2022_11_TEN_GB,GB,TEN,REG,11,GB,home,TEN,GB,66,44882,644,644,644,Half2,4,1,0.447222222,GB 34,10,"(10:44) (Shotgun) 33-A.Jones right end to GB 41 for 7 yards (31-K.Byard). TEN-93-T.Tart was injured during the play.  PENALTY on GB-73-Y.Nijman, Offensive Holding, 10 yards, enforced at GB 34 - No Play.",T.Tart,TEN-93
2022_11_TEN_GB,GB,TEN,REG,11,TEN,away,GB,TEN,87,44882,553,553,553,Half2,4,1,0.384027778,TEN 13,10,(9:13) 22-D.Henry left end to TEN 19 for 6 yards (90-J.Reed; 7-Q.Walker). GB-26-D.Savage was injured during the play. GB-7-Q.Walker was injured during the play. His return is Questionable.,Q.Walker,GB-7
2022_11_WAS_HOU,HOU,WAS,REG,11,HOU,home,WAS,WAS,48,44885,613,613,613,Half2,4,2,0.425694444,WAS 48,10,(10:13) (Shotgun) 10-D.Mills pass deep left intended for 13-B.Cooks INTERCEPTED by 22-D.Forrest (25-B.St-Juste) [52-J.Davis] at WAS 3. 22-D.Forrest ran ob at WAS 3 for no gain. WAS-25-B.St-Juste was injured during the play. His return is Questionable.,B.St-Juste,WAS-25
2022_11_WAS_HOU,HOU,WAS,REG,11,HOU,home,WAS,WAS,13,44885,269,269,269,Half2,4,4,0.186805556,WAS 13,4,(4:29) (Shotgun) 10-D.Mills pass short left to 13-B.Cooks to WAS 3 for 10 yards (29-K.Fuller). WAS-96-J.Smith-Williams was injured during the play.,J.Smith-Williams,WAS-96
2022_12_ATL_WAS,WAS,ATL,REG,12,WAS,home,ATL,ATL,48,44892,285,285,2085,Half1,2,3,0.197916667,ATL 48,9,(4:45) (Shotgun) 4-T.Heinicke pass short right to 17-T.McLaurin ran ob at ATL 35 for 13 yards. WAS-53-T.Turner was injured during the play. His return is Questionable.  53-T.Turner Ankle injury,T.Turner,WAS-53
2022_12_BAL_JAX,JAX,BAL,REG,12,JAX,home,BAL,BAL,45,44892,533,533,533,Half2,4,3,0.370138889,BAL 45,8,(8:53) (Shotgun) 16-T.Lawrence pass incomplete deep left to 13-C.Kirk. JAX-13-C.Kirk was injured during the play. His return is Questionable.,C.Kirk,JAX-13
2022_12_BUF_DET,DET,BUF,REG,12,BUF,away,DET,BUF,55,44889,288,1188,2988,Half1,1,2,0.2,BUF 45,9,"(4:48) (Shotgun) 17-J.Allen pass short right to 26-D.Singletary to DET 47 for 8 yards (34-A.Anzalone, 5-D.Elliott). DET-54-A.McNeill was injured during the play.",A.McNeill,DET-54
2022_12_BUF_DET,DET,BUF,REG,12,DET,home,BUF,BUF,16,44889,164,164,1964,Half1,2,1,0.113888889,BUF 16,10,"(2:44) (Shotgun) 16-J.Goff pass short right to 11-K.Raymond to BUF 9 for 7 yards (21-J.Poyer, 52-A.Klein). BUF-40-V.Miller was injured during the play. He is Out.",V.Miller,BUF-40
2022_12_BUF_DET,DET,BUF,REG,12,BUF,away,DET,BUF,64,44889,815,1715,1715,Half2,3,2,0.565972222,BUF 36,10,(13:35) (Shotgun) 17-J.Allen pass short left to 14-S.Diggs to BUF 33 for -3 yards (39-J.Jacobs). BUF-14-S.Diggs was injured during the play.,S.Diggs,BUF-14
2022_12_BUF_DET,DET,BUF,REG,12,BUF,away,DET,BUF,62,44889,682,1582,1582,Half2,3,2,0.473611111,BUF 38,21,(11:22) (Shotgun) 17-J.Allen pass deep right to 6-I.McKenzie to DET 32 for 30 yards (25-W.Harris). DET-99-J.Okwara was injured during the play. His return is Questionable.,J.Okwara,DET-99
2022_12_BUF_DET,DET,BUF,REG,12,BUF,away,DET,DET,29,44889,606,1506,1506,Half2,3,3,0.420833333,DET 29,7,"(10:06) (Shotgun) 17-J.Allen pass incomplete deep right to 14-S.Diggs [5-D.Elliott]. DET-5-D.Elliott was injured during the play.  PENALTY on DET-39-J.Jacobs, Defensive Pass Interference, 19 yards, enforced at DET 29 - No Play.",D.Elliott,DET-5
2022_12_BUF_DET,DET,BUF,REG,12,BUF,away,DET,BUF,72,44889,452,452,452,Half2,4,2,0.313888889,BUF 28,2,"(7:32) (No Huddle, Shotgun) 17-J.Allen pass short right to 14-S.Diggs to BUF 32 for 4 yards (79-J.Cominsky). DET-39-J.Jacobs was injured during the play.",J.Jacobs,DET-39
2022_12_CHI_NYJ,NYJ,CHI,REG,12,CHI,away,NYJ,CHI,99,44892,708,1608,1608,Half2,3,1,0.491666667,CHI 1,10,(11:48) 32-D.Montgomery up the middle to CHI 14 for 13 yards (29-L.Joyner). CHI-11-D.Mooney was injured during the play.,D.Mooney,CHI-11
2022_12_CHI_NYJ,NYJ,CHI,REG,12,CHI,away,NYJ,NYJ,23,44892,329,329,329,Half2,4,2,0.228472222,NYJ 23,2,"(5:29) (No Huddle, Shotgun) 32-D.Montgomery right tackle to NYJ 10 for 13 yards (3-J.Whitehead; 56-Qu.Williams). CHI-75-L.Borom was injured during the play.",L.Borom,CHI-75
2022_12_CIN_TEN,TEN,CIN,REG,12,TEN,home,CIN,TEN,51,44892,453,1353,3153,Half1,1,4,0.314583333,TEN 49,4,"(7:33) 4-R.Stonehouse punts 44 yards to CIN 7, Center-46-M.Cox, fair catch by 11-T.Taylor. TEN-42-J.Jones was injured during the play. His return is Questionable.  PENALTY on CIN-49-J.Bachie, Offensive Holding, 3 yards, enforced at CIN 7.",J.Jones,TEN-42
2022_12_CIN_TEN,TEN,CIN,REG,12,CIN,away,TEN,CIN,75,44892,39,939,939,Half2,3,1,0.027083333,CIN 25,10,(:39) (Shotgun) 34-S.Perine left tackle to CIN 30 for 5 yards (59-S.Okuayinonu; 53-D.Cole). CIN-71-L.Collins was injured during the play. His return is Questionable.,L.Collins,CIN-71
2022_12_GB_PHI,PHI,GB,REG,12,PHI,home,GB,PHI,75,44892,890,1790,3590,Half1,1,3,0.618055556,PHI 25,10,(14:50) (Shotgun) 1-J.Hurts scrambles right end pushed ob at PHI 49 for 24 yards (20-R.Ford). GB-26-D.Savage was injured during the play. He is Out.,D.Savage,GB-26
2022_12_GB_PHI,PHI,GB,REG,12,GB,away,PHI,PHI,32,44892,217,1117,2917,Half1,1,4,0.150694444,PHI 32,5,"(3:37) (Shotgun) 12-A.Rodgers pass deep middle to 9-C.Watson to PHI 11 for 21 yards (23-C.Gardner-Johnson). PHI-23-C.Gardner-Johnson was injured during the play. He is Out.  Penalty on PHI-43-K.White, Defensive Holding, declined.",C.Gardner-Johnson,PHI-23
2022_12_GB_PHI,PHI,GB,REG,12,PHI,home,GB,PHI,52,44892,70,70,1870,Half1,2,3,0.048611111,PHI 48,14,(1:10) (Shotgun) 1-J.Hurts pass short left to 6-D.Smith to GB 39 for 13 yards (7-Q.Walker; 23-J.Alexander). GB-58-I.McDuffie was injured during the play.,I.McDuffie,GB-58
2022_12_GB_PHI,PHI,GB,REG,12,GB,away,PHI,GB,55,44892,770,1670,1670,Half2,3,4,0.534722222,GB 45,12,"(12:50) 16-P.O'Donnell punts 41 yards to PHI 14, Center-56-J.Coco, downed by GB-35-C.Ballentine. PHI-48-P.Johnson was injured during the play.",P.Johnson,PHI-48
2022_12_GB_PHI,PHI,GB,REG,12,PHI,home,GB,GB,5,44892,506,1406,1406,Half2,3,1,0.351388889,GB 5,5,"(8:26) (No Huddle, Shotgun) 14-K.Gainwell right end to GB 1 for 4 yards (7-Q.Walker). GB-51-K.Barnes was injured during the play.",K.Barnes,GB-51
2022_12_GB_PHI,PHI,GB,REG,12,PHI,home,GB,GB,33,44892,763,763,763,Half2,4,1,0.529861111,GB 33,10,(12:43) (Shotgun) 35-B.Scott left guard to GB 14 for 19 yards (23-J.Alexander). GB-23-J.Alexander was injured during the play.,J.Alexander,GB-23
2022_12_GB_PHI,PHI,GB,REG,12,GB,away,PHI,GB,75,44892,630,630,630,Half2,4,2,0.4375,GB 25,10,(10:30) (Shotgun) 10-J.Love pass short left to 28-A.Dillon to GB 30 for 5 yards (57-T.Edwards; 32-R.Blankenship). GB-28-A.Dillon was injured during the play.,A.Dillon,GB-28
2022_12_GB_PHI,PHI,GB,REG,12,GB,away,PHI,PHI,38,44892,116,116,116,Half2,4,2,0.080555556,PHI 38,10,"(1:56) (Shotgun) 10-J.Love pass short middle to 13-A.Lazard to PHI 21 for 17 yards (43-K.White, 33-J.Scott). PHI-32-R.Blankenship was injured during the play.",R.Blankenship,PHI-32
2022_12_HOU_MIA,MIA,HOU,REG,12,MIA,home,HOU,HOU,12,44892,259,1159,2959,Half1,1,4,0.179861111,HOU 12,1,(4:19) (Shotgun) 1-T.Tagovailoa pass short middle to 14-T.Sherfield to HOU 3 for 9 yards (48-C.Harris). HOU-48-C.Harris was injured during the play.,C.Harris,HOU-48
2022_12_HOU_MIA,MIA,HOU,REG,12,MIA,home,HOU,MIA,75,44892,900,1800,1800,Half2,3,1,0.625,MIA 25,10,(15:00) 23-J.Wilson right end to MIA 32 for 7 yards (5-J.Pitre). MIA-23-J.Wilson was injured during the play.,J.Wilson,MIA-23
2022_12_HOU_MIA,MIA,HOU,REG,12,HOU,away,MIA,HOU,60,44892,260,260,260,Half2,4,1,0.180555556,HOU 40,10,(4:20) (Shotgun) 3-K.Allen pass incomplete short left to 28-R.Burkhead (45-D.Riley). HOU-28-R.Burkhead was injured during the play.,R.Burkhead,HOU-28
2022_12_LAC_ARI,ARI,LAC,REG,12,LAC,away,ARI,LAC,67,44892,811,811,2611,Half1,2,3,0.563194444,LAC 33,2,(13:31) (Shotgun) 10-J.Herbert pass short left to 5-J.Palmer to LAC 37 for 4 yards (20-M.Wilson). ARI-20-M.Wilson was injured during the play.,M.Wilson,ARI-20
2022_12_LAC_ARI,ARI,LAC,REG,12,LAC,away,ARI,ARI,33,44892,276,276,2076,Half1,2,2,0.191666667,ARI 33,9,"(4:36) (Shotgun) 10-J.Herbert pass deep left to 1-D.Carter for 33 yards, TOUCHDOWN. LAC-79-T.Pipkins was injured during the play.",T.Pipkins,LAC-79
2022_12_LAC_ARI,ARI,LAC,REG,12,LAC,away,ARI,ARI,22,44892,377,1277,1277,Half2,3,1,0.261805556,ARI 22,10,(6:17) (Shotgun) 25-J.Kelley right guard to ARI 18 for 4 yards (33-A.Hamilton). ARI-33-A.Hamilton was injured during the play.,A.Hamilton,ARI-33
2022_12_LAC_ARI,ARI,LAC,REG,12,LAC,away,ARI,ARI,30,44892,58,58,58,Half2,4,2,0.040277778,ARI 30,12,(:58) (Shotgun) 10-J.Herbert pass short right to 13-K.Allen to ARI 14 for 16 yards (33-A.Hamilton). ARI-45-D.Gardeck was injured during the play.,D.Gardeck,ARI-45
2022_12_LA_KC,KC,LA,REG,12,LA,away,KC,LA,65,44892,433,433,2233,Half1,2,2,0.300694444,LA 35,11,(7:13) 23-K.Williams up the middle to LA 40 for 5 yards (38-L.Sneed; 47-D.Harris). KC-38-L.Sneed was injured during the play. His return is Questionable.,L.Sneed,KC-38
2022_12_LA_KC,KC,LA,REG,12,LA,away,KC,LA,59,44892,329,1229,1229,Half2,3,2,0.228472222,LA 41,10,(5:29) 23-K.Williams up the middle to 50 for 9 yards (6-B.Cook). KC-50-W.Gay was injured during the play. His return is Questionable.,W.Gay,KC-50
2022_12_LV_SEA,SEA,LV,REG,12,LV,away,SEA,SEA,43,44892,635,1535,3335,Half1,1,3,0.440972222,SEA 43,4,(10:35) (Shotgun) 4-D.Carr pass deep left to 10-M.Hollins pushed ob at SEA 23 for 20 yards (13-J.Jones) [10-U.Nwosu]. LV-4-D.Carr was injured during the play.,D.Carr,LV-4
2022_12_LV_SEA,SEA,LV,REG,12,SEA,home,LV,LV,6,44892,282,1182,2982,Half1,1,2,0.195833333,LV 6,5,(4:42) 7-G.Smith pass incomplete short right to 14-D.Metcalf [98-M.Crosby]. LV-93-K.Peko was injured during the play.,K.Peko,LV-93
2022_12_LV_SEA,SEA,LV,REG,12,SEA,home,LV,LV,35,44892,900,1800,1800,Half2,3,NA,0.625,LV 35,0,"2-D.Carlson kicks 66 yards from LV 35 to SEA -1. 31-D.Dallas to SEA 25 for 26 yards (80-J.Horsted, 22-A.Abdullah). LV-80-J.Horsted was injured during the play.",J.Horsted,LV-80
2022_12_LV_SEA,SEA,LV,REG,12,SEA,home,LV,LV,47,44892,535,535,535,Half2,4,1,0.371527778,LV 47,10,(8:55) (Shotgun) 7-G.Smith sacked at SEA 46 for -7 yards (sack split by 98-M.Crosby and 97-A.Billings). LV-97-A.Billings was injured during the play.,A.Billings,LV-97
2022_12_LV_SEA,SEA,LV,REG,12,LV,away,SEA,SEA,37,44892,387,387,387,Overtime,5,3,0.26875,SEA 37,1,(6:27) 28-J.Jacobs left guard to SEA 38 for -1 yards (93-S.Harris). SEA-26-R.Neal was injured during the play.,R.Neal,SEA-26
2022_12_NE_MIN,MIN,NE,REG,12,NE,away,MIN,MIN,35,44889,509,509,2309,Half1,2,NA,0.353472222,MIN 35,0,1-G.Joseph kicks 62 yards from MIN 35 to NE 3. 25-Ma.Jones to NE 49 for 46 yards (45-T.Dye). MIN-29-K.Boyd was injured during the play.,K.Boyd,MIN-29
2022_12_NE_MIN,MIN,NE,REG,12,NE,away,MIN,MIN,39,44889,120,120,120,Half2,4,4,0.083333333,MIN 39,16,(2:00) (Shotgun) 10-M.Jones pass incomplete deep right to 15-N.Agholor. NE-15-N.Agholor was injured during the play.,N.Agholor,NE-15
2022_12_NO_SF,SF,NO,REG,12,SF,home,NO,NO,39,44892,696,1596,3396,Half1,1,3,0.483333333,NO 39,6,(11:36) (Shotgun) 10-J.Garoppolo pass short right to 19-D.Samuel to NO 19 for 20 yards (26-P.Williams; 29-P.Adebo). NO-26-P.Williams was injured during the play.  17 YAC,P.Williams,NO-26
2022_12_NO_SF,SF,NO,REG,12,SF,home,NO,NO,2,44892,215,215,2015,Half1,2,3,0.149305556,NO 2,2,(3:35) (Shotgun) 10-J.Garoppolo pass short right to 15-J.Jennings to NO 1 for 1 yard (19-C.Harris). SF-19-D.Samuel was injured during the play.  0 YAC,D.Samuel,SF-19
2022_12_NO_SF,SF,NO,REG,12,SF,home,NO,NO,32,44892,681,1581,1581,Half2,3,1,0.472916667,NO 32,15,(11:21) (Shotgun) 10-J.Garoppolo pass incomplete short middle to 19-D.Samuel. SF-15-J.Jennings was injured during the play.,J.Jennings,SF-15
2022_12_NO_SF,SF,NO,REG,12,NO,away,SF,SF,23,44892,293,1193,1193,Half2,3,2,0.203472222,SF 23,3,"(4:53) (Shotgun) 7-T.Hill left tackle to SF 25 for -2 yards (95-D.Jackson, 97-N.Bosa). SF-1-J.Ward was injured during the play.  7-T.Hill in as quarterback",J.Ward,SF-1
2022_12_NO_SF,SF,NO,REG,12,SF,home,NO,SF,62,44892,205,1105,1105,Half2,3,2,0.142361111,SF 38,10,(3:25) (Shotgun) 10-J.Garoppolo pass short right to 11-B.Aiyuk to SF 39 for 1 yard (55-K.Elliss). SF-74-S.Burford was injured during the play.  0 YAC,S.Burford,SF-74
2022_12_NYG_DAL,DAL,NYG,REG,12,DAL,home,NYG,NYG,37,44889,724,1624,1624,Half2,3,3,0.502777778,NYG 37,7,"(12:04) (Shotgun) 4-D.Prescott pass incomplete deep middle to 88-C.Lamb [5-K.Thibodeaux]. NYG-5-K.Thibodeaux was injured during the play. His return is Questionable.  PENALTY on NYG-30-D.Holmes, Defensive Holding, 5 yards, enforced at NYG 37 - No Play.",K.Thibodeaux,NYG-5
2022_12_NYG_DAL,DAL,NYG,REG,12,DAL,home,NYG,NYG,32,44889,719,1619,1619,Half2,3,1,0.499305556,NYG 32,10,(11:59) 21-E.Elliott up the middle to NYG 28 for 4 yards (44-N.McCloud). DAL-87-J.Ferguson was injured during the play. His return is Questionable.,J.Ferguson,DAL-87
2022_12_NYG_DAL,DAL,NYG,REG,12,DAL,home,NYG,NYG,24,44889,579,1479,1479,Half2,3,3,0.402083333,NYG 24,12,(9:39) (Shotgun) 4-D.Prescott pass short middle to 88-C.Lamb to NYG 10 for 14 yards (30-D.Holmes). NYG-24-D.Belton was injured during the play. His return is Questionable.,D.Belton,NYG-24
2022_12_NYG_DAL,DAL,NYG,REG,12,DAL,home,NYG,NYG,15,44889,527,1427,1427,Half2,3,1,0.365972222,NYG 15,15,(8:47) (Shotgun) 20-T.Pollard right tackle to NYG 15 for no gain (99-L.Williams). NYG-99-L.Williams was injured during the play. His return is Questionable.,L.Williams,NYG-99
2022_12_NYG_DAL,DAL,NYG,REG,12,DAL,home,NYG,NYG,44,44889,239,1139,1139,Half2,3,2,0.165972222,NYG 44,10,"(3:59) 4-D.Prescott to NYG 48 for -4 yards. FUMBLES, and recovers at NYG 49. 4-D.Prescott pass short middle to 87-J.Ferguson to NYG 30 for 14 yards (28-C.Flott) [5-K.Thibodeaux]. NYG-28-C.Flott was injured during the play.",C.Flott,NYG-28
2022_12_NYG_DAL,DAL,NYG,REG,12,NYG,away,DAL,NYG,60,44889,88,988,988,Half2,3,1,0.061111111,NYG 40,10,(1:28) 23-G.Brightwell right tackle to DAL 49 for 11 yards (55-L.Vander Esch; 27-J.Kearse). DAL-27-J.Kearse was injured during the play. His return is Questionable.,J.Kearse,DAL-27
2022_12_PIT_IND,IND,PIT,REG,12,IND,home,PIT,IND,70,44893,840,840,2640,Half1,2,2,0.583333333,IND 30,10,(14:00) (Shotgun) 28-J.Taylor up the middle to IND 36 for 6 yards (39-M.Fitzpatrick). IND-78-R.Kelly was injured during the play. His return is Questionable.,R.Kelly,IND-78
2022_12_PIT_IND,IND,PIT,REG,12,PIT,away,IND,IND,2,44893,602,602,602,Half2,4,2,0.418055556,IND 2,2,(10:02) (Shotgun) 8-K.Pickett pass incomplete short left to 18-D.Johnson (31-B.Facyson). PIT-82-S.Sims was injured during the play. IND-23-K.Moore was injured during the play. His return is Questionable.,K.Moore,IND-23
2022_12_PIT_IND,IND,PIT,REG,12,IND,home,PIT,IND,93,44893,232,232,232,Half2,4,1,0.161111111,IND 7,10,"(3:52) (Shotgun) 2-M.Ryan pass deep middle to 11-M.Pittman to IND 35 for 28 yards (34-T.Edmunds, 29-L.Wallace). PIT-29-L.Wallace was injured during the play.  Penalty on PIT-29-L.Wallace, Defensive Pass Interference, declined.",L.Wallace,PIT-29
2022_12_PIT_IND,IND,PIT,REG,12,IND,home,PIT,PIT,44,44893,170,170,170,Half2,4,1,0.118055556,PIT 44,10,"(2:50) (No Huddle, Shotgun) 28-J.Taylor up the middle to PIT 40 for 4 yards (90-T.Watt; 97-C.Heyward). PIT-29-L.Wallace was injured during the play.",L.Wallace,PIT-29
2022_12_TB_CLE,CLE,TB,REG,12,CLE,home,TB,TB,33,44892,152,1052,2852,Half1,1,3,0.105555556,TB 33,8,(2:32) (Shotgun) 7-J.Brissett pass incomplete deep right to 11-D.Peoples-Jones (24-C.Davis). TB-24-C.Davis was injured during the play. His return is Questionable.,C.Davis,TB-24
2022_12_TB_CLE,CLE,TB,REG,12,TB,away,CLE,TB,58,44892,855,855,855,Half2,4,3,0.59375,TB 42,9,"(14:15) (Shotgun) 12-T.Brady pass incomplete deep right to 13-M.Evans. CLE-33-R.Harrison was injured during the play. His return is Questionable.  PENALTY on CLE-23-M.Emerson, Defensive Pass Interference, 13 yards, enforced at TB 42 - No Play.",R.Harrison,CLE-33
2022_12_TB_CLE,CLE,TB,REG,12,TB,away,CLE,TB,61,44892,215,215,215,Overtime,5,2,0.149305556,TB 39,9,(3:35) (Shotgun) 12-T.Brady pass incomplete deep right to 13-M.Evans. TB-78-T.Wirfs was injured during the play. He is Out.,T.Wirfs,TB-78
2022_12_TB_CLE,CLE,TB,REG,12,CLE,home,TB,CLE,71,44892,165,165,165,Overtime,5,1,0.114583333,CLE 29,10,"(2:45) (Shotgun) 7-J.Brissett pass short right to 2-A.Cooper to CLE 46 for 17 yards (31-A.Winfield, 45-D.White). TB-31-A.Winfield was injured during the play. His return is Questionable.",A.Winfield,TB-31
2022_13_BUF_NE,NE,BUF,REG,13,BUF,away,NE,NE,28,44896,188,1088,1088,Half2,3,2,0.130555556,NE 28,2,(3:08) 68-B.Hart reported in as eligible.  28-J.Cook up the middle to NE 24 for 4 yards (92-D.Godchaux; 93-L.Guy). BUF-77-D.Quessenberry was injured during the play. BUF-88-D.Knox was injured during the play.,D.Knox,BUF-88
2022_13_BUF_NE,NE,BUF,REG,13,BUF,away,NE,NE,8,44896,900,900,900,Half2,4,2,0.625,NE 8,8,(15:00) (Shotgun) 17-J.Allen scrambles left end pushed ob at NE 1 for 7 yards (32-D.McCourty). BUF-6-I.McKenzie was injured during the play.,I.McKenzie,BUF-6
2022_13_BUF_NE,NE,BUF,REG,13,NE,home,BUF,BUF,21,44896,133,133,133,Half2,4,3,0.092361111,BUF 21,21,(2:13) (Shotgun) 10-M.Jones pass incomplete deep right to 15-N.Agholor. BUF-97-J.Phillips was injured during the play.,J.Phillips,BUF-97
