Team,Date,Relinquished,Notes,first_name,last_name,season,team_abbreviation,player_id
49ers,2021-09-24,Kevin Givens,ankle injury (out),Kevin,Givens,2021,SF,2021_Givens_SF
49ers,2019-10-11,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,2019-10-11,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,2021-11-13,Mohamed Sanu,knee injury (out),Mohamed,Sanu,2021,SF,2021_Sanu_SF
49ers,2021-10-29,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2019-09-20,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2019-12-19,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,2019-09-20,Tevin Coleman,ankle injury (out),Tevin,Coleman,2019,SF,2019_Coleman_SF
49ers,2022-09-18,Trey Lance,"fractured right ankle, ligament disruption in right ankle",Trey,Lance,2022,SF,2022_Lance_SF
49ers,2019-10-18,Deebo Samuel,groin injury (out),Deebo,Samuel,2019,SF,2019_Samuel_SF
49ers,2020-11-04,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,2020-10-23,Kwon Alexander,ankle injury (out),Kwon,Alexander,2020,SF,2020_Alexander_SF
49ers,2021-11-13,Dre Kirkpatrick,ankle injury (out),Dre,Kirkpatrick,2021,SF,2021_Kirkpatrick_SF
49ers,2021-11-13,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2020-10-23,Jimmie Ward,quadriceps injury (out),Jimmie,Ward,2020,SF,2020_Ward_SF
49ers,2021-09-10,Jalen Hurd,knee injury (out),Jalen,Hurd,2021,SF,2021_Hurd_SF
49ers,2021-11-26,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2021-11-05,Jimmie Ward,quadriceps injury (out),Jimmie,Ward,2021,SF,2021_Ward_SF
49ers,2019-10-11,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2020-09-25,Dee Ford,back injury (out),Dee,Ford,2020,SF,2020_Ford_SF
49ers,2021-12-03,Trey Sermon,ankle injury (out),Trey,Sermon,2021,SF,2021_Sermon_SF
49ers,2021-12-03,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-09-25,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,2019-11-22,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2019-11-22,Joe Staley,finger injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2019-12-13,Richard Sherman,hamstring injury (out),Richard,Sherman,2019,SF,2019_Sherman_SF
49ers,2020-10-23,Raheem Mostert,ankle injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,2021-11-13,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-09-18,George Kittle,knee injury (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,2021-11-13,Tavon Wilson,foot injury (out),Tavon,Wilson,2021,SF,2021_Wilson_SF
49ers,2019-12-19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2021-12-10,Trenton Cannon,concussion (out),Trenton,Cannon,2021,SF,2021_Cannon_SF
49ers,2021-12-17,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-12-25,Richard Sherman,calf injury (out),Richard,Sherman,2020,SF,2020_Sherman_SF
49ers,2019-09-20,Jalen Hurd,back injury (out),Jalen,Hurd,2019,SF,2019_Hurd_SF
49ers,2020-09-25,George Kittle,knee injury (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,2020-10-23,Jaquiski Tartt,groin injury (out),Jaquiski,Tartt,2020,SF,2020_Tartt_SF
49ers,2019-12-13,K'Waun Williams,concussion (out),K'Waun,Williams,2019,SF,2019_Williams_SF
49ers,2021-12-10,Elijah Mitchell,"concussion, knee injury (out)",Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,2021-12-10,Emmanuel Moseley,ankle injury (out),Emmanuel,Moseley,2021,SF,2021_Moseley_SF
49ers,2020-10-02,Raheem Mostert,knee injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,2020-12-11,Hroniss Grasu,knee injury (out),Hroniss,Grasu,2020,SF,2020_Grasu_SF
49ers,2019-12-19,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,2020-12-25,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2021-12-17,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2020-11-04,George Kittle,fractured foot (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,2021-10-08,Jimmy Garoppolo,calf injury (out),Jimmy,Garoppolo,2021,SF,2021_Garoppolo_SF
49ers,2019-09-13,Trent Taylor,foot injury (out),Trent,Taylor,2019,SF,2019_Taylor_SF
49ers,2019-10-18,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,2021-01-01,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2021-12-10,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2020-10-09,Dontae Johnson,groin injury (out),Dontae,Johnson,2020,SF,2020_Johnson_SF
49ers,2019-10-18,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2021-12-10,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2019-10-05,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2021-09-24,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2019-10-30,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,2020-09-11,Jason Verrett,hamstring injury (out),Jason,Verrett,2020,SF,2020_Verrett_SF
49ers,2023-01-29,Brock Purdy,torn UCL in right elbow (out indefinitely),Brock,Purdy,2022,SF,2022_Purdy_SF
49ers,2020-12-25,Jimmie Ward,concussion (out),Jimmie,Ward,2020,SF,2020_Ward_SF
49ers,2020-11-04,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,2021-10-22,Trey Lance,knee injury (out),Trey,Lance,2021,SF,2021_Lance_SF
49ers,2021-01-01,Brandon Aiyuk,ankle injury (out),Brandon,Aiyuk,2020,SF,2020_Aiyuk_SF
49ers,2019-10-25,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,2021-01-01,Javon Kinlaw,knee injury (out),Javon,Kinlaw,2020,SF,2020_Kinlaw_SF
49ers,2021-01-01,K'Waun Williams,shin injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,2019-10-18,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,2021-10-29,Javon Kinlaw,knee injury (out),Javon,Kinlaw,2021,SF,2021_Kinlaw_SF
49ers,2019-12-27,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2019-10-30,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,2019-10-30,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,2020-09-18,Jason Verrett,hamstring injury (out),Jason,Verrett,2020,SF,2020_Verrett_SF
49ers,2021-12-17,Elijah Mitchell,"concussion, knee injury (out)",Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,2020-11-27,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,2021-11-05,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-10-02,Dee Ford,back injury (out),Dee,Ford,2020,SF,2020_Ford_SF
49ers,2019-12-13,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,2019-11-29,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2019-10-25,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,2021-01-01,Richard Sherman,calf injury (out),Richard,Sherman,2020,SF,2020_Sherman_SF
49ers,2019-10-25,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,2020-10-02,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,2020-10-02,Emmanuel Moseley,concussion (out),Emmanuel,Moseley,2020,SF,2020_Moseley_SF
49ers,2020-10-30,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2020-12-11,Tom Compton,concussion (out),Tom,Compton,2020,SF,2020_Compton_SF
49ers,2020-11-04,Demetrius Flannigan-Fowles,hamstring injury (out),Demetrius,Flannigan-Fowles,2020,SF,2020_Flannigan-Fowles_SF
49ers,2021-09-17,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2019-09-13,Jalen Hurd,back injury (out),Jalen,Hurd,2019,SF,2019_Hurd_SF
49ers,2020-12-18,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2020-09-25,Dre Greenlaw,quadriceps injury (out),Dre,Greenlaw,2020,SF,2020_Greenlaw_SF
49ers,2019-10-18,D.J. Jones ,hamstring injury (out),D.J.,Jones,2019,SF,2019_Jones_SF
49ers,2019-12-13,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2019-12-13,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,2020-10-09,K'Waun Williams,knee injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,2019-10-05,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,2020-10-30,Jeff Wilson Jr.,ankle injury (out),Jeff,Wilson,2020,SF,2020_Wilson_SF
49ers,2020-10-09,Ezekiel Ansah ,biceps injury (out),Ezekiel,Ansah,2020,SF,2020_Ansah_SF
49ers,2021-10-22,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-09-11,Deebo Samuel,foot injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2019-10-18,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,2021-12-03,Deebo Samuel,groin injury (out),Deebo,Samuel,2021,SF,2021_Samuel_SF
49ers,2020-09-25,Raheem Mostert,knee injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,2019-10-11,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,2021-12-03,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2020-11-13,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,2020-10-02,Dre Greenlaw,quadriceps injury (out),Dre,Greenlaw,2020,SF,2020_Greenlaw_SF
49ers,2021-10-29,Jaquiski Tartt,knee injury (out),Jaquiski,Tartt,2021,SF,2021_Tartt_SF
49ers,2022-09-19,Trey Lance,"surgery on right ankle to repair fracture, ligament disruption",Trey,Lance,2022,SF,2022_Lance_SF
49ers,2021-08-30,Johnny Holland,took leave of absence as linebackers coach for medical reasons,Johnny,Holland,2021,SF,2021_Holland_SF
49ers,2019-11-15,D.J. Jones ,groin injury (out),D.J.,Jones,2019,SF,2019_Jones_SF
49ers,2020-11-27,K'Waun Williams,ankle injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,2020-11-13,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2020-12-05,K'Waun Williams,ankle injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,2020-11-27,Tom Compton,concussion (out),Tom,Compton,2020,SF,2020_Compton_SF
49ers,2021-11-19,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2022-03-08,Jimmy Garoppolo,surgery on right shoulder (out indefinitely),Jimmy,Garoppolo,2021,SF,2021_Garoppolo_SF
49ers,2020-10-02,Jordan Reed,knee injury (out),Jordan,Reed,2020,SF,2020_Reed_SF
49ers,2019-12-06,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,2020-11-13,Demetrius Flannigan-Fowles,hamstring injury (out),Demetrius,Flannigan-Fowles,2020,SF,2020_Flannigan-Fowles_SF
49ers,2021-10-22,Javon Kinlaw,knee injury (out),Javon,Kinlaw,2021,SF,2021_Kinlaw_SF
49ers,2019-11-15,Joe Staley,finger injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2020-12-18,Hroniss Grasu,knee injury (out),Hroniss,Grasu,2020,SF,2020_Grasu_SF
49ers,2020-11-04,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2019-11-29,Dante Pettis,knee injury (out),Dante,Pettis,2019,SF,2019_Pettis_SF
49ers,2021-12-31,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-10-09,Emmanuel Moseley,concussion (out),Emmanuel,Moseley,2020,SF,2020_Moseley_SF
49ers,2021-12-31,Azeez Al-Shaair,knee injury (out),Azeez,Al-Shaair,2021,SF,2021_Al-Shaair_SF
49ers,2020-10-16,Kwon Alexander,ankle injury (out),Kwon,Alexander,2020,SF,2020_Alexander_SF
49ers,2019-12-13,D.J. Jones ,ankle injury (out),D.J.,Jones,2019,SF,2019_Jones_SF
49ers,2020-11-27,Demetrius Flannigan-Fowles,hamstring injury (out),Demetrius,Flannigan-Fowles,2020,SF,2020_Flannigan-Fowles_SF
49ers,2022-09-11,Daniel Brunskill,hamstring injury (out),Daniel,Brunskill,2022,SF,2022_Brunskill_SF
49ers,2021-12-22,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-11-13,K'Waun Williams,ankle injury (out),K'Waun,Williams,2020,SF,2020_Williams_SF
49ers,2019-12-06,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,2020-10-02,Ahkello Witherspoon,hamstring injury (out),Ahkello,Witherspoon,2020,SF,2020_Witherspoon_SF
49ers,2021-12-22,Talanoa Hufanga,knee injury (out),Talanoa,Hufanga,2021,SF,2021_Hufanga_SF
49ers,2021-11-19,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2021-12-22,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2020-09-25,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,2021-10-08,K'Waun Williams,calf injury (out),K'Waun,Williams,2021,SF,2021_Williams_SF
49ers,2021-12-31,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2021-10-01,K'Waun Williams,calf injury (out),K'Waun,Williams,2021,SF,2021_Williams_SF
49ers,2021-12-22,Elijah Mitchell,knee injury (out),Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,2020-10-16,Dontae Johnson,groin injury (out),Dontae,Johnson,2020,SF,2020_Johnson_SF
49ers,2019-09-13,Tevin Coleman,ankle injury (out),Tevin,Coleman,2019,SF,2019_Coleman_SF
49ers,2021-01-02,Dre Greenlaw,calf injury (out),Dre,Greenlaw,2020,SF,2020_Greenlaw_SF
Bears,2019-11-15,Isaiah Irving,quadriceps injury (out),Isaiah,Irving,2019,CHI,2019_Irving_CHI
Bears,2019-11-15,Trey Burton,calf injury (out),Trey,Burton,2019,CHI,2019_Burton_CHI
Bears,2021-10-29,Khalil Mack,foot injury (out),Khalil,Mack,2021,CHI,2021_Mack_CHI
Bears,2019-12-04,Ben Braunecker,concussion (out),Ben,Braunecker,2019,CHI,2019_Braunecker_CHI
Bears,2021-11-24,Justin Fields,ribs injury (out),Justin,Fields,2021,CHI,2021_Fields_CHI
Bears,2019-10-04,Mitchell Trubisky ,left shoulder injury (out),Mitchell,Trubisky,2019,CHI,2019_Trubisky_CHI
Bears,2022-08-11,N'Keal Harry,tightrope surgery on ankle (out indefinitely),N'Keal,Harry,2022,CHI,2022_Harry_CHI
Bears,2021-10-08,David Montgomery,knee injury (out),David,Montgomery,2021,CHI,2021_Montgomery_CHI
Bears,2019-11-22,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,2021-12-03,Marquise Goodwin,"foot, ribs injuries (out)",Marquise,Goodwin,2021,CHI,2021_Goodwin_CHI
Bears,2021-10-15,J.P. Holtz,quadriceps injury (out),J.P.,Holtz,2021,CHI,2021_Holtz_CHI
Bears,2019-12-04,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,2022-01-07,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,2020-11-14,Johnathan Jenkins ,ankle injury (out),Johnathan,Jenkins,2020,CHI,2020_Jenkins_CHI
Bears,2020-11-06,Roy Robertson-Harris,shoulder injury (out),Roy,Robertson-Harris,2020,CHI,2020_Robertson-Harris_CHI
Bears,2021-12-24,Xavier Crawford,concussion (out),Xavier,Crawford,2021,CHI,2021_Crawford_CHI
Bears,2019-10-04,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2021-12-18,Jason Peters,ankle injury (out),Jason,Peters,2021,CHI,2021_Peters_CHI
Bears,2021-12-24,Jason Peters,ankle injury (out),Jason,Peters,2021,CHI,2021_Peters_CHI
Bears,2021-10-08,J.P. Holtz,quadriceps injury (out),J.P.,Holtz,2021,CHI,2021_Holtz_CHI
Bears,2020-12-18,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,2021-12-03,Damien Williams,calf injury (out),Damien,Williams,2021,CHI,2021_Williams_CHI
Bears,2020-11-06,Mitchell Trubisky ,right shoulder injury (out),Mitchell,Trubisky,2020,CHI,2020_Trubisky_CHI
Bears,2020-10-24,Sherrick McManis,hamstring injury (out),Sherrick,McManis,2020,CHI,2020_McManis_CHI
Bears,2022-09-25,David Montgomery,"right ankle, knee injury (DTD)",David,Montgomery,2022,CHI,2022_Montgomery_CHI
Bears,2020-11-06,Sam Mustipher,knee injury (out),Sam,Mustipher,2020,CHI,2020_Mustipher_CHI
Bears,2021-11-06,Nick Foles,illness (out),Nick,Foles,2021,CHI,2021_Foles_CHI
Bears,2019-11-01,Isaiah Irving,quadriceps injury (out),Isaiah,Irving,2019,CHI,2019_Irving_CHI
Bears,2019-10-04,Bilal Nichols,fractured hand (out),Bilal,Nichols,2019,CHI,2019_Nichols_CHI
Bears,2019-11-15,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,2021-10-15,Caleb Johnson,knee injury (out),Caleb,Johnson,2021,CHI,2021_Johnson_CHI
Bears,2019-11-15,Adam Shaheen,foot injury (out),Adam,Shaheen,2019,CHI,2019_Shaheen_CHI
Bears,2020-10-07,Deon Bush,hamstring injury (out),Deon,Bush,2020,CHI,2020_Bush_CHI
Bears,2022-08-13,Jaquan Brisker,right thumb injury (DTD),Jaquan,Brisker,2022,CHI,2022_Brisker_CHI
Bears,2021-10-22,Tashaun Gipson,hip injury (out),Tashaun,Gipson,2021,CHI,2021_Gipson_CHI
Bears,2021-12-03,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,2021-12-03,Mario Edwards Jr.,ribs injury (out),Mario,Edwards,2021,CHI,2021_Edwards_CHI
Bears,2019-11-22,Adam Shaheen,foot injury (out),Adam,Shaheen,2019,CHI,2019_Shaheen_CHI
Bears,2021-11-06,Damien Williams,knee injury (out),Damien,Williams,2021,CHI,2021_Williams_CHI
Bears,2019-12-27,Akiem Hicks,elbow injury (out),Akiem,Hicks,2019,CHI,2019_Hicks_CHI
Bears,2021-12-18,Deandre Houston-Carson,forearm injury (out),Deandre,Houston-Carson,2021,CHI,2021_Houston-Carson_CHI
Bears,2020-11-14,David Montgomery,concussion (out),David,Montgomery,2020,CHI,2020_Montgomery_CHI
Bears,2019-12-04,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2021-12-24,Andy Dalton,"left hand, groin injuries (out)",Andy,Dalton,2021,CHI,2021_Dalton_CHI
Bears,2021-09-17,Larry Borom,ankle injury (out),Larry,Borom,2021,CHI,2021_Borom_CHI
Bears,2019-12-27,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2020-12-25,Jaylon Johnson,shoulder injury (out),Jaylon,Johnson,2020,CHI,2020_Johnson_CHI
Bears,2021-12-18,Xavier Crawford,concussion (out),Xavier,Crawford,2021,CHI,2021_Crawford_CHI
Bears,2020-11-14,Mitchell Trubisky ,right shoulder injury (out),Mitchell,Trubisky,2020,CHI,2020_Trubisky_CHI
Bears,2019-11-27,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,2020-11-06,Johnathan Jenkins ,ankle injury (out),Johnathan,Jenkins,2020,CHI,2020_Jenkins_CHI
Bears,2020-10-30,Cody Whitehair,calf injury (out),Cody,Whitehair,2020,CHI,2020_Whitehair_CHI
Bears,2021-01-01,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,2019-12-04,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,2021-09-24,Andy Dalton,knee injury (out),Andy,Dalton,2021,CHI,2021_Dalton_CHI
Bears,2020-10-16,Deon Bush,hamstring injury (out),Deon,Bush,2020,CHI,2020_Bush_CHI
Bears,2021-11-24,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,2021-11-06,J.P. Holtz,concussion (out),J.P.,Holtz,2021,CHI,2021_Holtz_CHI
Bears,2021-11-24,Damien Williams,calf injury (out),Damien,Williams,2021,CHI,2021_Williams_CHI
Bears,2021-12-24,Jakeem Grant,concussion (out),Jakeem,Grant,2021,CHI,2021_Grant_CHI
Bears,2019-11-27,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2020-12-25,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,2019-11-08,Isaiah Irving,quadriceps injury (out),Isaiah,Irving,2019,CHI,2019_Irving_CHI
Bears,2019-11-27,Ben Braunecker,concussion (out),Ben,Braunecker,2019,CHI,2019_Braunecker_CHI
Bears,2021-11-06,Khalil Mack,foot injury (out),Khalil,Mack,2021,CHI,2021_Mack_CHI
Bears,2019-12-20,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,2021-01-01,Jaylon Johnson,shoulder injury (out),Jaylon,Johnson,2020,CHI,2020_Johnson_CHI
Bears,2019-12-27,Eddie Goldman,concussion (out),Eddie,Goldman,2019,CHI,2019_Goldman_CHI
Bears,2019-12-13,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2020-12-11,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,2019-09-21,Bilal Nichols,fractured hand (out),Bilal,Nichols,2019,CHI,2019_Nichols_CHI
Bears,2021-10-01,Joel Iyiegbuniwe ,hamstring injury (out),Joel,Iyiegbuniwe,2021,CHI,2021_Iyiegbuniwe_CHI
Bears,2019-10-04,Ted Larsen,knee injury (out),Ted,Larsen,2019,CHI,2019_Larsen_CHI
Bears,2019-11-27,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,2019-11-27,Adam Shaheen,foot injury (out),Adam,Shaheen,2019,CHI,2019_Shaheen_CHI
Bears,2019-12-13,Ben Braunecker,concussion (out),Ben,Braunecker,2019,CHI,2019_Braunecker_CHI
Bears,2019-12-13,Danny Trevathan,elbow injury (out),Danny,Trevathan,2019,CHI,2019_Trevathan_CHI
Bears,2019-12-13,Bobby Massie,ankle injury (out),Bobby,Massie,2019,CHI,2019_Massie_CHI
Bears,2019-09-27,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2019-11-27,Sherrick McManis,groin injury (out),Sherrick,McManis,2019,CHI,2019_McManis_CHI
Bears,2021-01-08,Buster Skrine,concussion (out),Buster,Skrine,2020,CHI,2020_Skrine_CHI
Bears,2019-09-27,Bilal Nichols,fractured hand (out),Bilal,Nichols,2019,CHI,2019_Nichols_CHI
Bears,2019-12-20,Taylor Gabriel,concussion (out),Taylor,Gabriel,2019,CHI,2019_Gabriel_CHI
Bears,2021-11-19,Akiem Hicks,ankle injury (out),Akiem,Hicks,2021,CHI,2021_Hicks_CHI
Bears,2021-10-08,Joel Iyiegbuniwe ,hamstring injury (out),Joel,Iyiegbuniwe,2021,CHI,2021_Iyiegbuniwe_CHI
Bears,2020-12-11,James Vaughters,knee injury (out),James,Vaughters,2020,CHI,2020_Vaughters_CHI
Bears,2020-11-14,Sherrick McManis,hand injury (out),Sherrick,McManis,2020,CHI,2020_McManis_CHI
Bengals,2021-12-10,Chris Evans,ankle injury (out),Chris,Evans,2021,CIN,2021_Evans_CIN
Bengals,2021-10-29,Chris Evans,hamstring injury (out),Chris,Evans,2021,CIN,2021_Evans_CIN
Bengals,2019-11-22,Drew Sample,ankle injury (out),Drew,Sample,2019,CIN,2019_Sample_CIN
Bengals,2021-09-10,Trae Waynes,hamstring injury (out),Trae,Waynes,2021,CIN,2021_Waynes_CIN
Bengals,2021-09-29,Jessie Bates III,neck injury (out),Jessie,Bates,2021,CIN,2021_Bates_CIN
Bengals,2019-09-20,Ryan Glasgow,thigh injury (out),Ryan,Glasgow,2019,CIN,2019_Glasgow_CIN
Bengals,2019-10-11,Ryan Glasgow,thigh injury (out),Ryan,Glasgow,2019,CIN,2019_Glasgow_CIN
Bengals,2021-12-17,Logan Wilson,shoulder injury (out),Logan,Wilson,2021,CIN,2021_Wilson_CIN
Bengals,2020-10-02,Mike Daniels,elbow injury (out),Mike,Daniels,2020,CIN,2020_Daniels_CIN
Bengals,2020-12-25,Tyler Boyd,concussion (out),Tyler,Boyd,2020,CIN,2020_Boyd_CIN
Bengals,2020-10-30,Bobby Hart,knee injury (out),Bobby,Hart,2020,CIN,2020_Hart_CIN
Bengals,2019-10-25,Dre Kirkpatrick,knee injury (out),Dre,Kirkpatrick,2019,CIN,2019_Kirkpatrick_CIN
