game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,time,yrdln,ydstogo,desc,injured_player,injured_team,Contact/ non-contact,injury area,player role
2020_04_DEN_NYJ,NYJ,DEN,REG,4,NYJ,home,DEN,NYJ,70,44105,720,720,2520,Half1,2,3,0.5,NYJ 30,5,(12:00) #14 Darnold in at QB. (Shotgun) 14-S.Darnold sacked at NYJ 22 for -8 yards (sack split by 96-S.Harris and 55-B.Chubb). DEN-96-S.Harris was injured during the play.,S.Harris,DEN-96,contact,hip,pass rusher
2020_04_DEN_NYJ,NYJ,DEN,REG,4,DEN,away,NYJ,NYJ,20,44105,366,1266,1266,Half2,3,3,0.254166667,NYJ 20,8,(6:06) (Shotgun) 4-B.Rypien pass short left to 87-N.Fant to NYJ 11 for 9 yards (30-B.McDougald) [93-T.Basham]. DEN-87-N.Fant was injured during the play.,N.Fant,DEN-87,contact,lower body,ball carrier
2020_04_DEN_NYJ,NYJ,DEN,REG,4,NYJ,home,DEN,NYJ,63,44105,812,1712,3512,Half1,1,1,0.563888889,NYJ 37,10,(13:32) 14-S.Darnold pass incomplete short middle to 82-J.Crowder. NYJ-75-C.Edoga was injured during the play.,C.Edoga,NYJ-75,contact,shoulder,pass blocker
2020_04_DEN_NYJ,NYJ,DEN,REG,4,DEN,away,NYJ,NYJ,22,44105,288,1188,2988,Half1,1,4,0.2,NYJ 22,9,"(4:48) 8-B.McManus 40 yard field goal is GOOD, Center-46-J.Bobenmoyer, Holder-6-S.Martin. NYJ-99-S.McLendon was injured during the play.",S.McLendon,NYJ-99,contact,unknown,field goal rusher
2020_04_DEN_NYJ,NYJ,DEN,REG,4,NYJ,home,DEN,DEN,20,44105,29,29,1829,Half1,2,2,0.020138889,DEN 20,10,(:29) (Shotgun) 14-S.Darnold pass incomplete deep right to 15-C.Hogan (41-D.Bausby). DEN-55-B.Chubb was injured during the play.,B.Chubb,DEN-55,contact,unknown,pass rusher
2020_04_DEN_NYJ,NYJ,DEN,REG,4,NYJ,home,DEN,DEN,31,44105,39,39,1839,Half1,2,2,0.027083333,DEN 31,7,"(:39) (No Huddle, Shotgun) 14-S.Darnold pass short left to 89-C.Herndon ran ob at DEN 20 for 11 yards (34-E.Bassey). DEN-96-S.Harris was injured during the play.",S.Harris,DEN-96,non contact,calf,pass rusher
2020_04_DEN_NYJ,NYJ,DEN,REG,4,NYJ,home,DEN,DEN,28,44105,473,473,2273,Half1,2,3,0.328472222,DEN 28,7,(7:53) (Shotgun) 14-S.Darnold pass incomplete deep left to 86-L.Cager. NYJ-86-L.Cager was injured during the play.,L.Cager,NYJ-86,non contact,hamstring,pass receiver
2020_04_IND_CHI,CHI,IND,REG,4,CHI,home,IND,IND,38,44108,120,120,120,Half2,4,1,0.083333333,IND 38,10,(2:00) (Shotgun) 9-N.Foles pass deep middle to 12-A.Robinson to IND 16 for 22 yards (54-A.Walker). IND-26-R.Ya-Sin was injured during the play.,R.Ya-Sin,IND-26,non contact,lower body,run defender
2020_04_JAX_CIN,CIN,JAX,REG,4,CIN,home,JAX,JAX,22,44108,219,1119,1119,Half2,3,3,0.152083333,JAX 22,10,(3:39) (Shotgun) 9-J.Burrow pass incomplete deep right to 18-A.Green (42-A.Wingard). CIN-18-A.Green was injured during the play.,A.Green,CIN-18,contact,arm,AP
2020_04_JAX_CIN,CIN,JAX,REG,4,JAX,away,CIN,CIN,25,44108,900,900,900,Half2,4,3,0.625,CIN 25,7,(15:00) (Shotgun) 15-G.Minshew II sacked at CIN 32 for -7 yards (50-J.Evans). JAX-74-C.Robinson was injured during the play.,C.Robinson,JAX-74,contact,knee,pass blocker
2020_04_JAX_CIN,CIN,JAX,REG,4,CIN,home,JAX,CIN,52,44108,674,674,674,Half2,4,2,0.468055556,CIN 48,13,(11:14) (Shotgun) 9-J.Burrow pass short right to 85-T.Higgins pushed ob at JAX 29 for 23 yards (29-J.Jones). JAX-25-D.Hayden was injured during the play.,D.Hayden,JAX-25,contact,lower body,pass defender
2020_04_JAX_CIN,CIN,JAX,REG,4,CIN,home,JAX,JAX,32,44108,551,1451,1451,Half2,3,1,0.382638889,JAX 32,10,(9:11) (Shotgun) 9-J.Burrow pass incomplete deep middle to 83-T.Boyd (25-D.Hayden). CIN-83-T.Boyd was injured during the play.,T.Boyd,CIN-83,contact,upper body,pass receiver
2020_04_JAX_CIN,CIN,JAX,REG,4,JAX,away,CIN,JAX,70,44108,535,535,535,Half2,4,2,0.371527778,JAX 30,5,(8:55) (Shotgun) 15-G.Minshew II pass short right to 30-J.Robinson to JAX 34 for 4 yards (57-G.Pratt). JAX-10-L.Shenault Jr. was injured during the play.,L.Shenault Jr.,JAX-10,non contact,lower body,AFP
2020_04_LAC_TB,TB,LAC,REG,4,LAC,away,TB,LAC,78,44108,114,1014,2814,Half1,1,1,0.079166667,LAC 22,10,(1:54) 30-A.Ekeler right end to LAC 24 for 2 yards (54-L.David). LAC-30-A.Ekeler was injured during the play. His return is Questionable.,A.Ekeler,LAC-30,contact,hamstring,ball carrier
2020_04_LAC_TB,TB,LAC,REG,4,TB,home,LAC,TB,65,44108,73,73,1873,Half1,2,1,0.050694444,TB 35,10,"(1:13) (No Huddle, Shotgun) 12-T.Brady pass incomplete short right to 44-K.Barner (44-K.White) [97-J.Bosa]. TB-44-K.Barner was injured during the play. His return is Questionable. PENALTY on LAC-44-K.White, Unnecessary Roughness, 15 yards, enforced at TB 35.",K.Barner,TB-44,contact,head,pass receiver
2020_04_LAC_TB,TB,LAC,REG,4,LAC,away,TB,LAC,62,44108,764,764,2564,Half1,2,3,0.530555556,LAC 38,1,(12:44) 27-J.Kelley up the middle to LAC 41 for 3 yards (92-W.Gholston; 58-S.Barrett). TB-92-W.Gholston was injured during the play. His return is Questionable.,W.Gholston,TB-92,contact,unknown,run defender
2020_04_LAC_TB,TB,LAC,REG,4,TB,home,LAC,LAC,35,44108,235,1135,2935,Half1,1,NA,0.163194444,LAC 35,0,"1-T.Long kicks 65 yards from LAC 35 to end zone, Touchback. LAC-28-B.Facyson was injured during the play. His return is Questionable.",B.Facyson,LAC-28,unknown,lower body,kickoff team
2020_04_MIN_HOU,HOU,MIN,REG,4,HOU,home,MIN,MIN,46,44108,73,73,1873,Half1,2,2,0.050694444,MIN 46,10,"(1:13) (Shotgun) 4-D.Watson pass deep middle to 88-J.Akins to MIN 20 for 26 yards (22-H.Smith, 54-E.Kendricks). HOU-88-J.Akins was injured during the play. He is Out. PENALTY on MIN-22-H.Smith, Disqualification, 10 yards, enforced at MIN 20.",J.Akins,HOU-88,contact,head,pass receiver
2020_04_MIN_HOU,HOU,MIN,REG,4,HOU,home,MIN,HOU,85,44108,648,1548,3348,Half1,1,1,0.45,HOU 15,10,(10:48) (Shotgun) 4-D.Watson pass incomplete short left to 31-Da.Johnson. MIN-27-C.Dantzler was injured during the play.,C.Dantzler,MIN-27,contact,upper body,pass defender
2020_04_MIN_HOU,HOU,MIN,REG,4,MIN,away,HOU,HOU,19,44108,687,687,687,Half2,4,1,0.477083333,HOU 19,10,(11:27) 33-D.Cook right tackle to HOU 4 for 15 yards (57-B.Scarlett). MIN-33-D.Cook was injured during the play.,D.Cook,MIN-33,contact,upper body,ball carrier
2020_04_NO_DET,DET,NO,REG,4,DET,home,NO,DET,68,44108,480,1380,1380,Half2,3,3,0.333333333,DET 32,3,"(8:00) (No Huddle, Shotgun) 9-M.Stafford pass short middle to 11-M.Jones to DET 41 for 9 yards (21-P.Robinson) [91-T.Hendrickson]. NO-21-P.Robinson was injured during the play.",P.Robinson,NO-21,contact,finger,tackler
2020_04_NO_DET,DET,NO,REG,4,DET,home,NO,DET,59,44108,443,1343,1343,Half2,3,2,0.307638889,DET 41,10,(7:23) 32-D.Swift left end pushed ob at DET 48 for 7 yards (27-M.Jenkins). NO-26-P.Williams was injured during the play.,P.Williams,NO-26,contact,lower body,run defender
2020_04_NO_DET,DET,NO,REG,4,DET,home,NO,NO,35,44108,392,392,392,Half2,4,4,0.272222222,NO 35,2,(6:32) 9-M.Stafford pass short right to 33-K.Johnson pushed ob at NO 32 for 3 yards (43-M.Williams). DET-33-K.Johnson was injured during the play.,K.Johnson,DET-33,contact,lower body,pass reciever
2020_04_NO_DET,DET,NO,REG,4,NO,away,DET,DET,20,44108,637,637,2437,Half1,2,2,0.442361111,DET 20,16,(10:37) 9-D.Brees pass short middle to 28-L.Murray to DET 1 for 19 yards (25-W.Harris). NO-10-T.Smith was injured during the play.,T.Smith,NO-10,contact,upper body,AFP
2020_04_NO_DET,DET,NO,REG,4,NO,away,DET,DET,9,44108,619,1519,1519,Half2,3,1,0.429861111,DET 9,9,(10:19) 68-D.Kelly reported in as eligible. 41-A.Kamara up the middle to DET 4 for 5 yards (58-J.Collins). NO-71-R.Ramczyk was injured during the play.,R.Ramczyk,NO-71,contact,upper body,run defender
2020_04_NO_DET,DET,NO,REG,4,NO,away,DET,DET,43,44108,721,721,2521,Half1,2,4,0.500694444,DET 43,4,(12:01) (Shotgun) 9-D.Brees pass deep right to 41-A.Kamara to DET 14 for 29 yards (24-A.Oruwariye). NO-72-T.Armstead was injured during the play.,T.Armstead,NO-72,unknown,unknown,run defender
2020_04_NYG_LAR,LAR,NYG,REG,4,LA,home,NYG,LA,87,44108,460,1360,1360,Half2,3,2,0.319444444,LA 13,6,"(7:40) (No Huddle, Shotgun) 16-J.Goff pass short middle to 17-R.Woods to LA 20 for 7 yards (54-B.Martinez). NYG-51-K.Fackrell was injured during the play. His return is Probable.",K.Fackrell,NYG-51,contact,upper body,run defender
